site_number, site_name,site_category, site_agency, longitude, latitude, site_nwis_url
2430005,"TENN-TOM WW BELOW JAMIE WHITTEN L&D NR DENNIS, MS",LK,USGS,-88.3236111,34.52,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02430005
2430085,"RED BUD CREEK NR MOORES MILL, MS",ST,USGS,-88.2836111,34.46666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02430085
2430161,"TENN-TOM WATERWAY BL MONTGOMERY L&D NR FULTON, MS",ST,USGS,-88.3683056,34.46244444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02430161
2430626,"TENN-TOM WATERWAY BL RANKIN L&D NR FULTON, MS",ST,USGS,-88.4087778,34.3603611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02430626
2430680,"TWENTYMILE CREEK NR GUNTOWN, MS",ST,USGS,-88.5772222,34.45277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02430680
2430880,"CUMMINGS CREEK NR FULTON, MS",ST,USGS,-88.3711111,34.30444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02430880
2431000,"TOMBIGBEE RIVER NR FULTON, MS",ST,USGS,-88.4452778,34.265,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02431000
2431011,"TENN-TOM WATERWAY BL FULTON L&D NR FULTON, MS",ST,USGS,-88.4241667,34.2549722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02431011
2432500,"BULL MOUNTAIN CREEK AT TREMONT, MS",ST,USGS,-88.2716667,34.23916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02432500
2433151,"TENN-TOM WATERWAY BL WILKINS L&D NR SMITHVILLE, MS",ST,USGS,-88.428,34.063,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02433151
2433496,"TENN-TOM WATERWAY BL AMORY L&D AT AMORY, MS",ST,USGS,-88.49138889,34.00944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02433496
2433500,"TOMBIGBEE RIVER AT BIGBEE, MS",ST,USGS,-88.5136111,34.01138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02433500
